#  Log[10,T [fm^-1]]	Log[10,E [fm^-4]]	Log[10,dE [fm^-4]]	Log[10,P [fm^-4]]	Log[10,dP [fm^-4]]
1001
-6.959	-171.24902001159586	-162.82357422010392	-172.6864736919249	-164.27444177731238
-6.946	-170.88006342571	-162.46761763421807	-172.31751710603905	-163.91848519142653
-6.933	-170.51110683982418	-162.11166104833225	-171.94856052015322	-163.56252860554068
-6.92	-170.14215025393835	-161.7557044624464	-171.5796039342674	-163.20657201965486
-6.907	-169.7731936680525	-161.39974787656055	-171.2106473483815	-162.850615433769
-6.894	-169.40423708216665	-161.04379129067473	-170.8416907624957	-162.4946588478832
-6.881	-169.03528049628082	-160.68783470478888	-170.47273417660983	-162.13870226199734
-6.868	-168.66632391039496	-160.33187811890303	-170.103777590724	-161.78274567611146
-6.855	-168.2973673245091	-159.97592153301716	-169.7348210048381	-161.42678909022564
-6.842	-167.92841073862326	-159.6199649471313	-169.3658644189523	-161.0708325043398
-6.829	-167.55945415273743	-159.2640083612455	-168.99690783306644	-160.71487591845397
-6.816	-167.1904975668516	-158.90805177535964	-168.62795124718065	-160.35891933256812
-6.803	-166.82154098096578	-158.55209518947382	-168.2589946612948	-160.00296274668227
-6.79	-166.45258439507992	-158.19613860358797	-167.89003807540897	-159.64700616079645
-6.777	-166.08362780919407	-157.84018201770212	-167.52108148952314	-159.29104957491057
-6.764	-165.71467122330824	-157.48422543181627	-167.15212490363726	-158.93509298902472
-6.751	-165.3457146374224	-157.12826884593045	-166.7831683177514	-158.57913640313888
-6.738	-164.97675805153654	-156.7723122600446	-166.41421173186555	-158.22317981725305
-6.725	-164.6078014656507	-156.41635567415875	-166.04525514597972	-157.8672232313672
-6.712	-164.23884487976483	-156.0603990882729	-165.67629856009387	-157.51126664548138
-6.699	-163.869888293879	-155.70444250238708	-165.30734197420807	-157.15531005959554
-6.686	-163.50093170799317	-155.34848591650123	-164.9383853883222	-156.7993534737097
-6.673	-163.13197512210735	-154.9925293306154	-164.56942880243636	-156.44339688782387
-6.66	-162.76301853622152	-154.63657274472956	-164.20047221655054	-156.08744030193805
-6.647	-162.39406195033567	-154.28061615884366	-163.8315156306647	-155.73148371605217
-6.634	-162.0251053644498	-153.92465957295784	-163.46255904477883	-155.3755271301663
-6.621	-161.65614877856396	-153.56870298707202	-163.093602458893	-155.0195705442805
-6.608	-161.2871921926781	-153.21274640118617	-162.72464587300718	-154.66361395839465
-6.595	-160.91823560679228	-152.85678981530032	-162.3556892871213	-154.30765737250877
-6.582	-160.54927902090643	-152.50083322941447	-161.98673270123547	-153.95170078662298
-6.569	-160.1803224350206	-152.14487664352865	-161.61777611534964	-153.5957442007371
-6.556	-159.81136584913475	-151.78892005764283	-161.2488195294638	-153.23978761485125
-6.543	-159.44240926324892	-151.43296347175698	-160.87986294357796	-152.88383102896543
-6.53	-159.07345267736306	-151.07700688587113	-160.51090635769205	-152.52787444307958
-6.517	-158.70449609147724	-150.7210502999853	-160.14194977180625	-152.17191785719376
-6.504	-158.3355395055914	-150.36509371409946	-159.77299318592043	-151.81596127130794
-6.491	-157.96658291970556	-150.0091371282136	-159.40403660003463	-151.46000468542212
-6.478	-157.59762633381968	-149.65318054232773	-159.03508001414872	-151.1040480995362
-6.465	-157.22866974793385	-149.29722395644194	-158.6661234282629	-150.7480915136504
-6.452	-156.85971316204802	-148.94126737055606	-158.29716684237707	-150.39213492776454
-6.439	-156.49075657616217	-148.5853107846702	-157.9282102564912	-150.03617834187872
-6.426	-156.12179999027634	-148.22935419878436	-157.5592536706054	-149.68022175599285
-6.413	-155.7528434043905	-147.87339761289854	-157.1902970847195	-149.32426517010697
-6.4	-155.3838868185047	-147.51744102701272	-156.8213404988337	-148.9683085842212
-6.387	-155.01493023261884	-147.16148444112685	-156.45238391294788	-148.6123519983354
-6.374	-154.64597364673298	-146.80552785524102	-156.08342732706205	-148.2563954124495
-6.361	-154.27701706084713	-146.44957126935518	-155.71447074117614	-147.90043882656363
-6.348	-153.90806047496127	-146.09361468346935	-155.34551415529032	-147.5444822406778
-6.335	-153.53910388907545	-145.7376580975835	-154.97655756940446	-147.18852565479196
-6.322	-153.1701473031896	-145.38170151169763	-154.60760098351864	-146.83256906890614
-6.309	-152.80119071730374	-145.0257449258118	-154.23864439763278	-146.47661248302023
-6.296	-152.4322341314179	-144.669788339926	-153.86968781174696	-146.12065589713444
-6.283	-152.0632775455321	-144.31383175404014	-153.5007312258611	-145.7646993112486
